"","Variable","TestDataAverage","TrainDataAverage"
"1","tBodyAcc-mean()-X",0.273995840740414,0.27448812496352
"2","tBodyAcc-mean()-Y",-0.0178634002668453,-0.0176954273577941
"3","tBodyAcc-mean()-Z",-0.108386200206006,-0.10914102015124
"4","tBodyAcc-std()-X",-0.613634902884459,-0.605438451136836
"5","tBodyAcc-std()-Y",-0.508329846887119,-0.510937560960832
"6","tBodyAcc-std()-Z",-0.633797111077676,-0.604753690501853
"7","tBodyAcc-mad()-X",-0.641277619486155,-0.630512126647159
"8","tBodyAcc-mad()-Y",-0.52267567671643,-0.526907431433227
"9","tBodyAcc-mad()-Z",-0.637038485293099,-0.606150484997695
"10","tBodyAcc-max()-X",-0.462063111264567,-0.468604011850173
"11","tBodyAcc-max()-Y",-0.303028258056512,-0.306043159313513
"12","tBodyAcc-max()-Z",-0.574975252359437,-0.557120618353656
"13","tBodyAcc-min()-X",0.529678540641469,0.523550736319554
"14","tBodyAcc-min()-Y",0.394902964572559,0.387385510912532
"15","tBodyAcc-min()-Z",0.60712178687852,0.594374303956926
"16","tBodyAcc-sma()",-0.563358920028188,-0.547568888295005
"17","tBodyAcc-energy()-X",-0.838978018330166,-0.820040931092492
"18","tBodyAcc-energy()-Y",-0.904776811917204,-0.901873522711426
"19","tBodyAcc-energy()-Z",-0.876809632951137,-0.845783932253863
"20","tBodyAcc-iqr()-X",-0.701178735948456,-0.68434492158116
"21","tBodyAcc-iqr()-Y",-0.642868482705803,-0.643769625478819
"22","tBodyAcc-iqr()-Z",-0.664678191114564,-0.631068632269322
"23","tBodyAcc-entropy()-X",-0.0936940676737122,-0.10299255895546
"24","tBodyAcc-entropy()-Y",-0.105882956366542,-0.137937286278996
"25","tBodyAcc-entropy()-Z",-0.142689883593354,-0.163945594302924
"26","tBodyAcc-arCoeff()-X,1",-0.124831157675239,-0.116598648106366
"27","tBodyAcc-arCoeff()-X,2",0.123072520684917,0.102761953527314
"28","tBodyAcc-arCoeff()-X,3",-0.030495174996375,-0.0377855024698667
"29","tBodyAcc-arCoeff()-X,4",0.10085308445587,0.130476869721699
"30","tBodyAcc-arCoeff()-Y,1",-0.0382765967011181,-0.0262292137447367
"31","tBodyAcc-arCoeff()-Y,2",0.0452001604503868,0.0263218549804207
"32","tBodyAcc-arCoeff()-Y,3",0.143127775742856,0.159965537832784
"33","tBodyAcc-arCoeff()-Y,4",-0.014339435044357,-0.0195748866481605
"34","tBodyAcc-arCoeff()-Z,1",-0.0021453228795979,0.00941956672418797
"35","tBodyAcc-arCoeff()-Z,2",0.0488022579490876,0.0332905745017126
"36","tBodyAcc-arCoeff()-Z,3",0.029028001385263,0.0365865770597583
"37","tBodyAcc-arCoeff()-Z,4",-0.0927206607087275,-0.0786401454795779
"38","tBodyAcc-correlation()-X,Y",-0.108278892926213,-0.125130584848324
"39","tBodyAcc-correlation()-X,Z",-0.207585210405497,-0.193802320695826
"40","tBodyAcc-correlation()-Y,Z",0.0951980705814486,0.105005085293028
